,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-01-07/2002-01-13,12,2002-01-07,2002-01-13,1481,102,340,989,85,312,125,3,8
2002-01-14/2002-01-20,13,2002-01-14,2002-01-20,1249,122,354,832,93,250,82,4,47
2002-01-21/2002-01-27,14,2002-01-21,2002-01-27,1317,256,188,915,205,122,57,7,32
2002-01-28/2002-02-03,15,2002-01-28,2002-02-03,1381,170,106,946,120,89,62,9,4
2002-02-04/2002-02-10,16,2002-02-04,2002-02-10,1388,149,142,932,111,125,62,6,6
2002-02-11/2002-02-17,17,2002-02-11,2002-02-17,1409,260,239,938,203,197,62,14,14
2002-02-18/2002-02-24,18,2002-02-18,2002-02-24,1456,54,7,961,28,5,65,5,2
2002-02-25/2002-03-03,19,2002-02-25,2002-03-03,1443,179,192,944,130,147,59,7,13
2002-03-04/2002-03-10,20,2002-03-04,2002-03-10,1471,187,159,954,134,124,56,3,6
2002-03-11/2002-03-17,21,2002-03-11,2002-03-17,1497,199,173,975,157,136,56,11,11
2002-03-18/2002-03-24,22,2002-03-18,2002-03-24,1578,259,178,1031,187,131,63,17,10
2002-03-25/2002-03-31,23,2002-03-25,2002-03-31,1480,122,220,941,96,186,62,4,5
2002-04-01/2002-04-07,24,2002-04-01,2002-04-07,1528,169,121,966,127,102,63,7,6
2002-04-08/2002-04-14,25,2002-04-08,2002-04-14,1630,328,226,1061,269,174,59,9,13
2002-04-15/2002-04-21,26,2002-04-15,2002-04-21,1683,202,149,1091,160,130,66,11,4
2002-04-22/2002-04-28,27,2002-04-22,2002-04-28,1658,191,216,1054,148,185,65,6,7
2002-04-29/2002-05-05,28,2002-04-29,2002-05-05,1609,198,247,1010,156,200,67,12,10
2002-05-06/2002-05-12,29,2002-05-06,2002-05-12,1541,210,278,962,171,219,61,10,16
2002-05-13/2002-05-19,30,2002-05-13,2002-05-19,1514,201,228,916,143,189,63,15,13
2002-05-20/2002-05-26,31,2002-05-20,2002-05-26,1764,419,169,1060,282,138,111,61,13
2002-05-27/2002-06-02,32,2002-05-27,2002-06-02,1763,245,246,1036,174,198,116,29,24
2002-06-03/2002-06-09,33,2002-06-03,2002-06-09,1675,379,467,944,259,351,86,33,63
2002-06-10/2002-06-16,34,2002-06-10,2002-06-16,1660,178,193,912,103,135,78,17,25
2002-06-17/2002-06-23,35,2002-06-17,2002-06-23,1728,147,79,943,88,57,82,16,12
2002-06-24/2002-06-30,36,2002-06-24,2002-06-30,1765,84,47,962,50,31,79,5,8
2002-07-01/2002-07-07,37,2002-07-01,2002-07-07,1795,44,14,977,26,11,78,1,2
2002-07-08/2002-07-14,38,2002-07-08,2002-07-14,1852,76,19,1006,42,13,78,2,2
2002-07-15/2002-07-21,39,2002-07-15,2002-07-21,1873,44,23,1016,25,15,82,6,2
2002-07-22/2002-07-28,40,2002-07-22,2002-07-28,1848,102,127,997,59,78,80,4,6
