,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-01-07/2002-01-13,12,2002-01-07,2002-01-13,2773,120,90,1976,98,76,74,4,4
2002-01-14/2002-01-20,13,2002-01-14,2002-01-20,2936,241,78,2079,173,70,89,17,2
2002-01-21/2002-01-27,14,2002-01-21,2002-01-27,2851,362,447,2052,302,329,97,15,7
2002-01-28/2002-02-03,15,2002-01-28,2002-02-03,2882,246,215,2060,192,184,101,11,7
2002-02-04/2002-02-10,16,2002-02-04,2002-02-10,2857,190,215,2024,143,179,105,11,7
2002-02-11/2002-02-17,17,2002-02-11,2002-02-17,2981,299,175,2086,204,142,121,25,9
2002-02-18/2002-02-24,18,2002-02-18,2002-02-24,3048,72,5,2121,39,4,130,9,0
2002-02-25/2002-03-03,19,2002-02-25,2002-03-03,3132,200,116,2164,136,93,134,14,10
2002-03-04/2002-03-10,20,2002-03-04,2002-03-10,3100,215,247,2139,161,186,122,12,24
2002-03-11/2002-03-17,21,2002-03-11,2002-03-17,3177,205,128,2189,149,99,130,18,10
2002-03-18/2002-03-24,22,2002-03-18,2002-03-24,3249,354,282,2227,260,222,131,24,23
2002-03-25/2002-03-31,23,2002-03-25,2002-03-31,3307,185,127,2264,137,100,135,12,8
2002-04-01/2002-04-07,24,2002-04-01,2002-04-07,3366,230,171,2300,167,131,133,13,15
2002-04-08/2002-04-14,25,2002-04-08,2002-04-14,3408,428,386,2309,322,313,133,24,24
2002-04-15/2002-04-21,26,2002-04-15,2002-04-21,3410,289,287,2265,179,223,147,46,32
2002-04-22/2002-04-28,27,2002-04-22,2002-04-28,3480,301,231,2312,207,160,154,31,24
2002-04-29/2002-05-05,28,2002-04-29,2002-05-05,3362,245,363,2189,172,295,158,22,18
2002-05-06/2002-05-12,29,2002-05-06,2002-05-12,3382,301,281,2178,218,229,167,25,16
2002-05-13/2002-05-19,30,2002-05-13,2002-05-19,3257,344,469,2052,230,356,163,35,39
2002-05-20/2002-05-26,31,2002-05-20,2002-05-26,3811,941,387,2373,627,306,240,114,37
2002-05-27/2002-06-02,32,2002-05-27,2002-06-02,3653,463,621,2253,304,424,243,64,61
2002-06-03/2002-06-09,33,2002-06-03,2002-06-09,3896,647,404,2379,397,271,282,86,47
2002-06-10/2002-06-16,34,2002-06-10,2002-06-16,3977,415,334,2433,269,215,284,61,59
2002-06-17/2002-06-23,35,2002-06-17,2002-06-23,4057,271,191,2479,172,126,284,32,32
2002-06-24/2002-06-30,36,2002-06-24,2002-06-30,4131,184,110,2516,114,77,280,14,18
2002-07-01/2002-07-07,37,2002-07-01,2002-07-07,4094,83,120,2474,50,92,273,5,12
2002-07-08/2002-07-14,38,2002-07-08,2002-07-14,4192,177,79,2519,101,56,295,31,9
