,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2014-10-06/2014-10-12,728,2014-10-06,2014-10-12,2644,8,0,0,0,0,0,0,0
2014-10-13/2014-10-19,729,2014-10-13,2014-10-19,2646,6,4,0,0,0,0,0,0
2014-10-20/2014-10-26,730,2014-10-20,2014-10-26,2649,7,4,0,0,0,0,0,0
2014-10-27/2014-11-02,731,2014-10-27,2014-11-02,2647,7,9,0,0,0,0,0,0
2014-11-03/2014-11-09,732,2014-11-03,2014-11-09,2650,4,1,0,0,0,0,0,0
2014-11-10/2014-11-16,733,2014-11-10,2014-11-16,2654,10,6,0,0,0,0,0,0
2014-11-17/2014-11-23,734,2014-11-17,2014-11-23,2653,3,4,0,0,0,0,0,0
2014-11-24/2014-11-30,735,2014-11-24,2014-11-30,2654,3,2,0,0,0,0,0,0
2014-12-01/2014-12-07,736,2014-12-01,2014-12-07,2655,4,3,0,0,0,0,0,0
2014-12-08/2014-12-14,737,2014-12-08,2014-12-14,2660,6,1,0,0,0,0,0,0
2014-12-15/2014-12-21,738,2014-12-15,2014-12-21,2662,3,1,0,0,0,0,0,0
2014-12-22/2014-12-28,739,2014-12-22,2014-12-28,2662,5,5,0,0,0,0,0,0
2014-12-29/2015-01-04,740,2014-12-29,2015-01-04,2661,4,5,0,0,0,0,0,0
2015-01-05/2015-01-11,741,2015-01-05,2015-01-11,2662,6,5,0,0,0,0,0,0
2015-01-12/2015-01-18,742,2015-01-12,2015-01-18,2665,5,2,0,0,0,0,0,0
2015-01-19/2015-01-25,743,2015-01-19,2015-01-25,2667,5,3,0,0,0,0,0,0
2015-01-26/2015-02-01,744,2015-01-26,2015-02-01,2666,2,3,0,0,0,0,0,0
2015-02-02/2015-02-08,745,2015-02-02,2015-02-08,2661,6,11,0,0,0,0,0,0
2015-02-09/2015-02-15,746,2015-02-09,2015-02-15,2659,1,3,0,0,0,0,0,0
2015-02-16/2015-02-22,747,2015-02-16,2015-02-22,2658,2,3,0,0,0,0,0,0
2015-02-23/2015-03-01,748,2015-02-23,2015-03-01,2659,3,2,0,0,0,0,0,0
2015-03-02/2015-03-08,749,2015-03-02,2015-03-08,2662,8,5,0,0,0,0,0,0
2015-03-09/2015-03-15,750,2015-03-09,2015-03-15,2663,6,5,0,0,0,0,0,0
2015-03-16/2015-03-22,751,2015-03-16,2015-03-22,2663,4,4,0,0,0,0,0,0
2015-03-23/2015-03-29,752,2015-03-23,2015-03-29,2661,1,3,0,0,0,0,0,0
2015-03-30/2015-04-05,753,2015-03-30,2015-04-05,2662,1,0,0,0,0,0,0,0
2015-04-06/2015-04-12,754,2015-04-06,2015-04-12,2664,3,1,0,0,0,0,0,0
2015-04-13/2015-04-19,755,2015-04-13,2015-04-19,2663,1,2,0,0,0,0,0,0
2015-04-20/2015-04-26,756,2015-04-20,2015-04-26,2665,3,1,0,0,0,0,0,0
2015-04-27/2015-05-03,757,2015-04-27,2015-05-03,2662,2,5,0,0,0,0,0,0
2015-05-04/2015-05-10,758,2015-05-04,2015-05-10,2662,1,1,0,0,0,0,0,0
2015-05-11/2015-05-17,759,2015-05-11,2015-05-17,2663,2,1,0,0,0,0,0,0
2015-05-18/2015-05-24,760,2015-05-18,2015-05-24,2662,2,3,0,0,0,0,0,0
2015-05-25/2015-05-31,761,2015-05-25,2015-05-31,2661,1,2,0,0,0,0,0,0
2015-06-01/2015-06-07,762,2015-06-01,2015-06-07,2661,1,1,0,0,0,0,0,0
2015-06-08/2015-06-14,763,2015-06-08,2015-06-14,2661,1,1,0,0,0,0,0,0
2015-06-15/2015-06-21,764,2015-06-15,2015-06-21,2659,1,3,0,0,0,0,0,0
2015-06-22/2015-06-28,765,2015-06-22,2015-06-28,2660,2,1,0,0,0,0,0,0
2015-06-29/2015-07-05,766,2015-06-29,2015-07-05,2661,2,1,0,0,0,0,0,0
2015-07-06/2015-07-12,767,2015-07-06,2015-07-12,2661,0,0,0,0,0,0,0,0
2015-07-13/2015-07-19,768,2015-07-13,2015-07-19,2660,1,2,0,0,0,0,0,0
2015-07-20/2015-07-26,769,2015-07-20,2015-07-26,2662,2,0,0,0,0,0,0,0
2015-07-27/2015-08-02,770,2015-07-27,2015-08-02,2663,1,0,0,0,0,0,0,0
2015-08-03/2015-08-09,771,2015-08-03,2015-08-09,2662,4,5,0,0,0,0,0,0
2015-08-10/2015-08-16,772,2015-08-10,2015-08-16,2664,3,1,0,0,0,0,0,0
2015-08-17/2015-08-23,773,2015-08-17,2015-08-23,2664,0,0,0,0,0,0,0,0
2015-08-24/2015-08-30,774,2015-08-24,2015-08-30,2665,2,1,0,0,0,0,0,0
2015-08-31/2015-09-06,775,2015-08-31,2015-09-06,2664,1,2,0,0,0,0,0,0
2015-09-07/2015-09-13,776,2015-09-07,2015-09-13,2663,2,3,0,0,0,0,0,0
2015-09-14/2015-09-20,777,2015-09-14,2015-09-20,2664,7,6,0,0,0,0,0,0
2015-09-21/2015-09-27,778,2015-09-21,2015-09-27,2664,8,8,0,0,0,0,0,0
2015-09-28/2015-10-04,779,2015-09-28,2015-10-04,2664,1,1,0,0,0,0,0,0
2015-10-05/2015-10-11,780,2015-10-05,2015-10-11,2663,2,3,0,0,0,0,0,0
2015-10-12/2015-10-18,781,2015-10-12,2015-10-18,2664,3,2,0,0,0,0,0,0
2015-10-19/2015-10-25,782,2015-10-19,2015-10-25,2665,2,1,0,0,0,0,0,0
2015-10-26/2015-11-01,783,2015-10-26,2015-11-01,2669,4,0,0,0,0,0,0,0
2015-11-02/2015-11-08,784,2015-11-02,2015-11-08,2667,1,3,0,0,0,0,0,0
2015-11-09/2015-11-15,785,2015-11-09,2015-11-15,2670,7,4,0,0,0,0,0,0
2015-11-16/2015-11-22,786,2015-11-16,2015-11-22,2669,2,3,0,0,0,0,0,0
2015-11-23/2015-11-29,787,2015-11-23,2015-11-29,2671,4,2,0,0,0,0,0,0
2015-11-30/2015-12-06,788,2015-11-30,2015-12-06,2675,6,2,0,0,0,0,0,0
2015-12-07/2015-12-13,789,2015-12-07,2015-12-13,2676,2,1,0,0,0,0,0,0
2015-12-14/2015-12-20,790,2015-12-14,2015-12-20,2677,5,4,0,0,0,0,0,0
2015-12-21/2015-12-27,791,2015-12-21,2015-12-27,2678,2,1,0,0,0,0,0,0
2015-12-28/2016-01-03,792,2015-12-28,2016-01-03,2681,4,1,0,0,0,0,0,0
2016-01-04/2016-01-10,793,2016-01-04,2016-01-10,2683,2,0,0,0,0,0,0,0
2016-01-11/2016-01-17,794,2016-01-11,2016-01-17,2684,6,5,0,0,0,0,0,0
2016-01-18/2016-01-24,795,2016-01-18,2016-01-24,2685,2,1,0,0,0,0,0,0
2016-01-25/2016-01-31,796,2016-01-25,2016-01-31,2685,2,2,0,0,0,0,0,0
2016-02-01/2016-02-07,797,2016-02-01,2016-02-07,2686,5,4,0,0,0,0,0,0
2016-02-08/2016-02-14,798,2016-02-08,2016-02-14,2682,2,6,0,0,0,0,0,0
2016-02-15/2016-02-21,799,2016-02-15,2016-02-21,2679,1,4,0,0,0,0,0,0
2016-02-22/2016-02-28,800,2016-02-22,2016-02-28,2679,1,1,0,0,0,0,0,0
2016-02-29/2016-03-06,801,2016-02-29,2016-03-06,2680,1,0,0,0,0,0,0,0
2016-03-07/2016-03-13,802,2016-03-07,2016-03-13,2680,1,1,0,0,0,0,0,0
2016-03-14/2016-03-20,803,2016-03-14,2016-03-20,2679,2,3,0,0,0,0,0,0
2016-03-21/2016-03-27,804,2016-03-21,2016-03-27,2672,1,8,0,0,0,0,0,0
2016-03-28/2016-04-03,805,2016-03-28,2016-04-03,2671,2,3,0,0,0,0,0,0
2016-04-04/2016-04-10,806,2016-04-04,2016-04-10,2674,6,3,0,0,0,0,0,0
2016-04-11/2016-04-17,807,2016-04-11,2016-04-17,2674,4,4,0,0,0,0,0,0
2016-04-18/2016-04-24,808,2016-04-18,2016-04-24,2675,3,2,0,0,0,0,0,0
2016-04-25/2016-05-01,809,2016-04-25,2016-05-01,2671,0,4,0,0,0,0,0,0
2016-05-02/2016-05-08,810,2016-05-02,2016-05-08,2669,4,6,0,0,0,0,0,0
2016-05-09/2016-05-15,811,2016-05-09,2016-05-15,2669,0,0,0,0,0,0,0,0
2016-05-16/2016-05-22,812,2016-05-16,2016-05-22,2670,4,3,0,0,0,0,0,0
2016-05-23/2016-05-29,813,2016-05-23,2016-05-29,2668,2,4,0,0,0,0,0,0
