,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2014-10-06/2014-10-12,727,2014-10-06,2014-10-12,5136,13,8,0,0,0,0,0,0
2014-10-13/2014-10-19,728,2014-10-13,2014-10-19,5139,5,2,0,0,0,0,0,0
2014-10-20/2014-10-26,729,2014-10-20,2014-10-26,5143,8,4,0,0,0,0,0,0
2014-10-27/2014-11-02,730,2014-10-27,2014-11-02,5141,11,13,0,0,0,0,0,0
2014-11-03/2014-11-09,731,2014-11-03,2014-11-09,5143,7,5,0,0,0,0,0,0
2014-11-10/2014-11-16,732,2014-11-10,2014-11-16,5143,4,4,0,0,0,0,0,0
2014-11-17/2014-11-23,733,2014-11-17,2014-11-23,5154,14,3,0,0,0,0,0,0
2014-11-24/2014-11-30,734,2014-11-24,2014-11-30,5156,4,2,0,0,0,0,0,0
2014-12-01/2014-12-07,735,2014-12-01,2014-12-07,5159,3,0,0,0,0,0,0,0
2014-12-08/2014-12-14,736,2014-12-08,2014-12-14,5162,5,2,0,0,0,0,0,0
2014-12-15/2014-12-21,737,2014-12-15,2014-12-21,5166,4,0,0,0,0,0,0,0
2014-12-22/2014-12-28,738,2014-12-22,2014-12-28,5168,5,3,0,0,0,0,0,0
2014-12-29/2015-01-04,739,2014-12-29,2015-01-04,5172,7,3,0,0,0,0,0,0
2015-01-05/2015-01-11,740,2015-01-05,2015-01-11,5176,6,2,0,0,0,0,0,0
2015-01-12/2015-01-18,741,2015-01-12,2015-01-18,5177,6,5,0,0,0,0,0,0
2015-01-19/2015-01-25,742,2015-01-19,2015-01-25,5177,8,8,0,0,0,0,0,0
2015-01-26/2015-02-01,743,2015-01-26,2015-02-01,5177,2,2,0,0,0,0,0,0
2015-02-02/2015-02-08,744,2015-02-02,2015-02-08,5176,5,6,0,0,0,0,0,0
2015-02-09/2015-02-15,745,2015-02-09,2015-02-15,5186,12,2,0,0,0,0,0,0
2015-02-16/2015-02-22,746,2015-02-16,2015-02-22,5185,4,5,0,0,0,0,0,0
2015-02-23/2015-03-01,747,2015-02-23,2015-03-01,5190,9,4,0,0,0,0,0,0
2015-03-02/2015-03-08,748,2015-03-02,2015-03-08,5194,6,2,0,0,0,0,0,0
2015-03-09/2015-03-15,749,2015-03-09,2015-03-15,5196,4,2,0,0,0,0,0,0
2015-03-16/2015-03-22,750,2015-03-16,2015-03-22,5197,5,4,0,0,0,0,0,0
2015-03-23/2015-03-29,751,2015-03-23,2015-03-29,5204,7,0,0,0,0,0,0,0
2015-03-30/2015-04-05,752,2015-03-30,2015-04-05,5202,1,3,0,0,0,0,0,0
2015-04-06/2015-04-12,753,2015-04-06,2015-04-12,5203,4,3,0,0,0,0,0,0
2015-04-13/2015-04-19,754,2015-04-13,2015-04-19,5208,7,2,0,0,0,0,0,0
2015-04-20/2015-04-26,755,2015-04-20,2015-04-26,5205,4,7,0,0,0,0,0,0
2015-04-27/2015-05-03,756,2015-04-27,2015-05-03,5204,4,5,0,0,0,0,0,0
2015-05-04/2015-05-10,757,2015-05-04,2015-05-10,5209,6,1,0,0,0,0,0,0
2015-05-11/2015-05-17,758,2015-05-11,2015-05-17,5213,5,1,0,0,0,0,0,0
2015-05-18/2015-05-24,759,2015-05-18,2015-05-24,5215,4,2,0,0,0,0,0,0
2015-05-25/2015-05-31,760,2015-05-25,2015-05-31,5231,19,3,0,0,0,0,0,0
2015-06-01/2015-06-07,761,2015-06-01,2015-06-07,5230,1,2,0,0,0,0,0,0
2015-06-08/2015-06-14,762,2015-06-08,2015-06-14,5234,5,1,0,0,0,0,0,0
2015-06-15/2015-06-21,763,2015-06-15,2015-06-21,5238,4,0,0,0,0,0,0,0
2015-06-22/2015-06-28,764,2015-06-22,2015-06-28,5238,1,1,0,0,0,0,0,0
2015-06-29/2015-07-05,765,2015-06-29,2015-07-05,5240,4,2,0,0,0,0,0,0
2015-07-06/2015-07-12,766,2015-07-06,2015-07-12,5240,0,0,0,0,0,0,0,0
2015-07-13/2015-07-19,767,2015-07-13,2015-07-19,5241,2,1,0,0,0,0,0,0
2015-07-20/2015-07-26,768,2015-07-20,2015-07-26,5248,10,3,0,0,0,0,0,0
2015-07-27/2015-08-02,769,2015-07-27,2015-08-02,5252,4,0,0,0,0,0,0,0
2015-08-03/2015-08-09,770,2015-08-03,2015-08-09,5254,6,4,0,0,0,0,0,0
2015-08-10/2015-08-16,771,2015-08-10,2015-08-16,5258,7,3,0,0,0,0,0,0
2015-08-17/2015-08-23,772,2015-08-17,2015-08-23,5262,7,3,0,0,0,0,0,0
2015-08-24/2015-08-30,773,2015-08-24,2015-08-30,5265,4,1,0,0,0,0,0,0
2015-08-31/2015-09-06,774,2015-08-31,2015-09-06,5270,5,0,0,0,0,0,0,0
2015-09-07/2015-09-13,775,2015-09-07,2015-09-13,5271,5,4,0,0,0,0,0,0
2015-09-14/2015-09-20,776,2015-09-14,2015-09-20,5275,7,3,0,0,0,0,0,0
2015-09-21/2015-09-27,777,2015-09-21,2015-09-27,5274,4,5,0,0,0,0,0,0
2015-09-28/2015-10-04,778,2015-09-28,2015-10-04,5275,3,2,0,0,0,0,0,0
2015-10-05/2015-10-11,779,2015-10-05,2015-10-11,5264,3,14,0,0,0,0,0,0
2015-10-12/2015-10-18,780,2015-10-12,2015-10-18,5262,2,4,0,0,0,0,0,0
2015-10-19/2015-10-25,781,2015-10-19,2015-10-25,5254,1,9,0,0,0,0,0,0
2015-10-26/2015-11-01,782,2015-10-26,2015-11-01,5255,4,3,0,0,0,0,0,0
2015-11-02/2015-11-08,783,2015-11-02,2015-11-08,5255,1,1,0,0,0,0,0,0
2015-11-09/2015-11-15,784,2015-11-09,2015-11-15,5255,5,5,0,0,0,0,0,0
2015-11-16/2015-11-22,785,2015-11-16,2015-11-22,5261,8,2,0,0,0,0,0,0
2015-11-23/2015-11-29,786,2015-11-23,2015-11-29,5273,15,3,0,0,0,0,0,0
2015-11-30/2015-12-06,787,2015-11-30,2015-12-06,5273,1,1,0,0,0,0,0,0
2015-12-07/2015-12-13,788,2015-12-07,2015-12-13,5275,3,1,0,0,0,0,0,0
2015-12-14/2015-12-20,789,2015-12-14,2015-12-20,5277,6,4,0,0,0,0,0,0
2015-12-21/2015-12-27,790,2015-12-21,2015-12-27,5278,2,1,0,0,0,0,0,0
2015-12-28/2016-01-03,791,2015-12-28,2016-01-03,5279,4,3,0,0,0,0,0,0
2016-01-04/2016-01-10,792,2016-01-04,2016-01-10,5283,5,1,0,0,0,0,0,0
2016-01-11/2016-01-17,793,2016-01-11,2016-01-17,5285,4,2,0,0,0,0,0,0
2016-01-18/2016-01-24,794,2016-01-18,2016-01-24,5290,8,3,0,0,0,0,0,0
2016-01-25/2016-01-31,795,2016-01-25,2016-01-31,5294,6,2,0,0,0,0,0,0
2016-02-01/2016-02-07,796,2016-02-01,2016-02-07,5292,1,3,0,0,0,0,0,0
2016-02-08/2016-02-14,797,2016-02-08,2016-02-14,5295,5,2,0,0,0,0,0,0
2016-02-15/2016-02-21,798,2016-02-15,2016-02-21,5294,6,7,0,0,0,0,0,0
2016-02-22/2016-02-28,799,2016-02-22,2016-02-28,5293,2,3,0,0,0,0,0,0
2016-02-29/2016-03-06,800,2016-02-29,2016-03-06,5287,1,7,0,0,0,0,0,0
2016-03-07/2016-03-13,801,2016-03-07,2016-03-13,5288,4,3,0,0,0,0,0,0
2016-03-14/2016-03-20,802,2016-03-14,2016-03-20,5287,1,2,0,0,0,0,0,0
2016-03-21/2016-03-27,803,2016-03-21,2016-03-27,5268,5,24,0,0,0,0,0,0
